"UserId","verb_id","verb","feature_raw"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","boog"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","links"
"16ada7e49b7-ce39-67ff-7fe-9052",12,"slingeren","rechts"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","geluid"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","hand"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","beweging"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","deur"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","tafel"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","hout"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","bezoek"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","checken"
"16ada7e49b7-ce39-67ff-7fe-9052",20,"kloppen","binnen gaan"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","beneden"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","omlaag"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","hoog"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","laag"
"16ada7e49b7-ce39-67ff-7fe-9052",1,"afdalen","hoogteverschil"
"16ada7e49b7-ce39-67ff-7fe-9052",13,"sluipen","langzaam"
"16ada7e49b7-ce39-67ff-7fe-9052",13,"sluipen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",13,"sluipen","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",13,"sluipen","zachtjes"
"16ada7e49b7-ce39-67ff-7fe-9052",13,"sluipen","uit het zicht"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","lopen"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","heen en weer"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","wandelen"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","voeten"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",2,"banjeren","trekken"
"16ada7e49b7-ce39-67ff-7fe-9052",21,"slaaten","ik"
"16ada7e49b7-ce39-67ff-7fe-9052",21,"slaaten","ken"
"16ada7e49b7-ce39-67ff-7fe-9052",21,"slaaten","dit"
"16ada7e49b7-ce39-67ff-7fe-9052",21,"slaaten","woord"
"16ada7e49b7-ce39-67ff-7fe-9052",21,"slaaten","niet"
"16ada7e49b7-ce39-67ff-7fe-9052",4,"glippen","net"
"16ada7e49b7-ce39-67ff-7fe-9052",4,"glippen","op tijd"
"16ada7e49b7-ce39-67ff-7fe-9052",4,"glippen","naar binnen"
"16ada7e49b7-ce39-67ff-7fe-9052",4,"glippen","bewegen"
"16ada7e49b7-ce39-67ff-7fe-9052",4,"glippen","glijden"
"16ada7e49b7-ce39-67ff-7fe-9052",14,"spoeden","snel"
"16ada7e49b7-ce39-67ff-7fe-9052",14,"spoeden","haast"
