"verb","feature_raw","feature_clean","feature_revised","revision","feature_type","feature_english","comment"
"snijden","voedsel","voedsel","","","","",""
"hakken","boom","boom","","","","",""
"hakken","hout","hout","","","","",""
"hakken","manier van dansen","manier van dansen","","","","",""
"hakken","zwaar","zwaar","","","","",""
"hardlopen","kilometers","kilometers","","","","",""
"hardlopen","loopband","loopband","","","","",""
"hardlopen","buiten","buiten","","","","",""
"hardlopen","schoenen","schoenen","","","","",""
"lopen","naar bestemming gaan","naar bestemming gaan","","","","",""
"lopen","twee benen","twee benen","","","","",""
"lopen","5 km per uur","5 km per uur","","","","",""
"lopen","ontspanning","ontspanning","","","","",""
"glippen","stiekem","stiekem","","","","",""
"glippen","onopvallend","onopvallend","","","","",""
"glippen","ergens tussendoor","ergens tussendoor","","","","",""
"glippen","vallen","vallen","","","","",""
"glippen","voorzichtig","voorzichtig","","","","",""
"snijden","delen","delen","","","","",""
"snijden","handeling","handeling","","","","",""
"snijden","scherp object","scherp object","","","","",""
"knippen","scherp object","scherp object","","","","",""
"knippen","snijden","snijden","","","","",""
"knippen","kortwieken","kortwieken","","","","",""
"marcheren","stampen","stampen","","","","",""
"marcheren","gelijkmatig tempo","gelijkmatig tempo","","","","",""
"marcheren","mars","mars","","","","",""
"schuifelen","duo","duo","","","","",""
"schuifelen","romantisch","romantisch","","","","",""
"schuifelen","glijden","glijden","","","","",""
"banjeren","overal dwars doorheen","overal dwars doorheen","","","","",""
"banjeren","lomp","lomp","","","","",""
"banjeren","van de paden af","van de paden af","","","","",""
"wijken","vermijden","vermijden","","","","",""
"wijken","plaatsmaken","plaatsmaken","","","","",""
"wijken","aan de kant","aan de kant","","","","",""
"wijken","vervangen worden door","vervangen worden door","","","","",""
"hakken","bijl","bijl","","","","",""
"hakken","slaan met een scherp voorwerp","slaan met een scherp voorwerp","","","","",""
"hakken","dansen","dansen","","","","",""
"hakken","luide muziek","luide muziek","","","","",""
"lopen","te voet voortbewegen","te voet voortbewegen","","","","",""
"lopen","pedestrian","pedestrian","","","","",""
"lopen","stap voor stap","stap voor stap","","","","",""
"lopen","6 kilometer per uur","6 kilometer per uur","","","","",""
"slingeren","geen rechte lijn","geen rechte lijn","","","","",""
"slingeren","heen en weer","heen en weer","","","","",""
"slingeren","voortbewegen","voortbewegen","","","","",""
"slingeren","uit balans","uit balans","","","","",""
"slingeren","beweging","beweging","","","","",""
"slingeren","weg","weg","","","","",""
"slingeren","vaak gedaan als iemand dronken is","vaak gedaan als iemand dronken is","","","","",""
"slingeren","rijden","rijden","","","","",""
"afdalen","naar beneden","naar beneden","","","","",""
"afdalen","tegenovergestelde: klimmen","tegenovergestelde: klimmen","","","","",""
"afdalen","van een berg of heuvel","van een berg of heuvel","","","","",""
"afdalen","handeling","handeling","","","","",""
"afdalen","bewust omlaag gaan","bewust omlaag gaan","","","","",""
"glippen","uit de handen laten vallen","uit de handen laten vallen","","","","",""
"glippen","verspelen","verspelen","","","","",""
"glippen","laten gaan","laten gaan","","","","",""
"glippen","kans","kans","","","","",""
"kloppen","correct zijn","correct zijn","","","","",""
"kloppen","met de hand op iets hards slaan","met de hand op iets hards slaan","","","","",""
"kloppen","aankondiging van aankomst","aankondiging van aankomst","","","","",""
"kloppen","houten deur","houten deur","","","","",""
"kloppen","zoals het hoort","zoals het hoort","","","","",""
"sluipen","stil","stil","","","","",""
"sluipen","stiekem arriveren","stiekem arriveren","","","","",""
"sluipen","in het donker","in het donker","","","","",""
"sluipen","gebukt en zachtjes lopen","gebukt en zachtjes lopen","","","","",""
"sluipen","voortbewegen","voortbewegen","","","","",""
"sluipen","geheim","geheim","","","","",""
"kuieren","slenteren","slenteren","","","","",""
"kuieren","langzaam lopen","langzaam lopen","","","","",""
"kuieren","zonder duidelijk doel","zonder duidelijk doel","","","","",""
"kuieren","gemoedelijk","gemoedelijk","","","","",""
"kuieren","sloffen","sloffen","","","","",""
"dolen","verdwaald","verdwaald","","","","",""
"dolen","geen doel","geen doel","","","","",""
"dolen","ronddwalen","ronddwalen","","","","",""
"dolen","zwerven","zwerven","","","","",""
"dolen","lopen zonder richting","lopen zonder richting","","","","",""
"walsen","platmaken","platmaken","","","","",""
"walsen","over iemand heenlopen","over iemand heenlopen","","","","",""
"walsen","duo","duo","","","","",""
"walsen","ouderwetse muziek","ouderwetse muziek","","","","",""
"spoeden","zo snel mogelijk ergens heen gaan","zo snel mogelijk ergens heen gaan","","","","",""
"spoeden","vlug voortbewegen","vlug voortbewegen","","","","",""
"spoeden","tijdsdruk","tijdsdruk","","","","",""
"haasten","spoeden","spoeden","","","","",""
"haasten","zo snel mogelijk ergens heen gaan","zo snel mogelijk ergens heen gaan","","","","",""
"haasten","tempo maken","tempo maken","","","","",""
"hardlopen","snel voortbewegen","snel voortbewegen","","","","",""
"hardlopen","joggen","joggen","","","","",""
"slaaten","?","?","","","","",""
"klimmen","omhoog gaan","omhoog gaan","","","","",""
"klimmen","met handen en voeten","met handen en voeten","","","","",""
"klimmen","de hoogte in","de hoogte in","","","","",""
"klimmen","berg of heuvel op","berg of heuvel op","","","","",""
"knippen","door de mens","door de mens","","","","",""
"knippen","scheiden","scheiden","","","","",""
"knippen","gebruik van je handen","gebruik van je handen","","","","",""
"schuifelen","dansvloer","dansvloer","","","","",""
"schuifelen","stel","stel","","","","",""
"schuifelen","knuffelen","knuffelen","","","","",""
"schuifelen","rustige muziek","rustige muziek","","","","",""
"schuifelen","verliefd","verliefd","","","","",""
"slingeren","bal","bal","","","","",""
"slingeren","springtouw","springtouw","","","","",""
"slingeren","over het water","over het water","","","","",""
"slingeren","kronkelende lijn","kronkelende lijn","","","","",""
"slingeren","boomtak","boomtak","","","","",""
"slingeren","met een touw","met een touw","","","","",""
"slingeren","kronkelende beweging","kronkelende beweging","","","","",""
"slingeren","springen","springen","","","","",""
"hakken","techno","techno","","","","",""
"hakken","harde muziek","harde muziek","","","","",""
"hakken","met je vrienden","met je vrienden","","","","",""
"hakken","op een festival","op een festival","","","","",""
"walsen","metaal","metaal","","","","",""
"walsen","vormgeving","vormgeving","","","","",""
"walsen","platen","platen","","","","",""
"walsen","techniek","techniek","","","","",""
"walsen","mannenberoep","mannenberoep","","","","",""
"kuieren","wandelen","wandelen","","","","",""
"kuieren","in het bos","in het bos","","","","",""
"kuieren","tochten","tochten","","","","",""
"kuieren","met een rugzak","met een rugzak","","","","",""
"kuieren","vermoeiend","vermoeiend","","","","",""
"klimmen","verzekeren","verzekeren","","","","",""
"klimmen","bergschoenen","bergschoenen","","","","",""
"klimmen","berg","berg","","","","",""
"slaaten","weet","weet","","","","",""
"slaaten","echt","echt","","","","",""
"slaaten","wat dit is","wat dit is","","","","",""
"kloppen","sinterklaas","sinterklaas","","","","",""
"kloppen","binnenkomen","binnenkomen","","","","",""
"kloppen","vragen","vragen","","","","",""
"kloppen","met je hand","met je hand","","","","",""
"dolen","verbuigen","verbuigen","","","","",""
"dolen","koorts","koorts","","","","",""
"dolen","dwalen","dwalen","","","","",""
"dolen","geen idee","geen idee","","","","",""
"spoeden","spoed","spoed","","","","",""
"spoeden","noodzakelijk","noodzakelijk","","","","",""
"spoeden","eerste hulp","eerste hulp","","","","",""
"glippen","weggaan","weggaan","","","","",""
"glippen","vis glipt uit mijn hand","vis glipt uit mijn hand","","","","",""
"hardlopen","zwaar","zwaar","","","","",""
"hardlopen","in de buitenlucht","in de buitenlucht","","","","",""
"hardlopen","spieren","spieren","","","","",""
"hardlopen","conditie","conditie","","","","",""
"banjeren","voortkomen","voortkomen","","","","",""
"banjeren","moeite","moeite","","","","",""
"banjeren","zenuwachtig","zenuwachtig","","","","",""
"banjeren","drukte maken","drukte maken","","","","",""
"banjeren","onrustig","onrustig","","","","",""
"snijden","scheiden","scheiden","","","","",""
"snijden","scherp","scherp","","","","",""
"snijden","bloed","bloed","","","","",""
"snijden","groente","groente","","","","",""
"lopen","voortkomen","voortkomen","","","","",""
"lopen","langzaam","langzaam","","","","",""
"lopen","tenen","tenen","","","","",""
"lopen","buiten","buiten","","","","",""
"sluipen","boef","boef","","","","",""
"sluipen","onherkenbaar","onherkenbaar","","","","",""
"sluipen","op je tenen","op je tenen","","","","",""
"afdalen","lift","lift","","","","",""
"afdalen","skien","skien","","","","",""
"afdalen","helling","helling","","","","",""
"haasten","opschieten","opschieten","","","","",""
"haasten","tijd tekort","tijd tekort","","","","",""
"haasten","trein","trein","","","","",""
"wijken","ontwijken","ontwijken","","","","",""
"wijken","van af gaan","van af gaan","","","","",""
"wijken","files ontwijken","files ontwijken","","","","",""
"wijken","terugtrekken","terugtrekken","","","","",""
"wijken","anti","anti","","","","",""
"marcheren","geweer","geweer","","","","",""
"marcheren","met een pak","met een pak","","","","",""
"marcheren","in de maat","in de maat","","","","",""
"marcheren","manier van lopen","manier van lopen","","","","",""
"marcheren","hierarchie","hierarchie","","","","",""
"marcheren","schoenen","schoenen","","","","",""
"marcheren","marechaussee","marechaussee","","","","",""
"marcheren","optocht","optocht","","","","",""
"marcheren","benen","benen","","","","",""
"marcheren","stijf","stijf","","","","",""
"afdalen","berg","berg","","","","",""
"afdalen","kuiten","kuiten","","","","",""
"afdalen","lopen","lopen","","","","",""
"afdalen","wandelen","wandelen","","","","",""
"afdalen","heuvel","heuvel","","","","",""
"snijden","verdelen in stukken","verdelen in stukken","","","","",""
"snijden","vlees","vlees","","","","",""
"snijden","bereiden","bereiden","","","","",""
"kuieren","bos","bos","","","","",""
"kuieren","praten","praten","","","","",""
"kuieren","kletsen","kletsen","","","","",""
"kuieren","geen haast","geen haast","","","","",""
"kloppen","voordeur","voordeur","","","","",""
"kloppen","signaal","signaal","","","","",""
"kloppen","vuist","vuist","","","","",""
"kloppen","begroeting","begroeting","","","","",""
"kloppen","ontvangst","ontvangst","","","","",""
"schuifelen","partner","partner","","","","",""
"schuifelen","omarmen","omarmen","","","","",""
"schuifelen","man-vrouw","man-vrouw","","","","",""
"schuifelen","romantiek","romantiek","","","","",""
"slaaten","ik weet niet wat dit betekent.","ik weet niet wat dit betekent.","","","","",""
"hakken","verdelen in stukken","verdelen in stukken","","","","",""
"hakken","arm","arm","","","","",""
"hakken","spierkracht","spierkracht","","","","",""
"hakken","gereedschap","gereedschap","","","","",""
"haasten","onrustig","onrustig","","","","",""
"haasten","klok","klok","","","","",""
"haasten","tijd","tijd","","","","",""
"haasten","snelheid","snelheid","","","","",""
"dolen","zoekend","zoekend","","","","",""
"dolen","wandelen","wandelen","","","","",""
"dolen","vragend","vragend","","","","",""
"dolen","lopend","lopend","","","","",""
"sluipen","inbreker","inbreker","","","","",""
"sluipen","onopgemerkt","onopgemerkt","","","","",""
"sluipen","op tenen","op tenen","","","","",""
"sluipen","ongezien","ongezien","","","","",""
"banjeren","druk","druk","","","","",""
"banjeren","ongeremd","ongeremd","","","","",""
"banjeren","chaotisch","chaotisch","","","","",""
"banjeren","haastig","haastig","","","","",""
"walsen","lomp","lomp","","","","",""
"walsen","schreeuwen","schreeuwen","","","","",""
"walsen","hoogste woord voeren","hoogste woord voeren","","","","",""
"walsen","grote mond","grote mond","","","","",""
"walsen","brutaal","brutaal","","","","",""
"knippen","in papier","in papier","","","","",""
"knippen","in stof","in stof","","","","",""
"knippen","figuren","figuren","","","","",""
"knippen","uit krant","uit krant","","","","",""
"wijken","ontlopen","ontlopen","","","","",""
"wijken","niet willen zien","niet willen zien","","","","",""
"wijken","ontkomen","ontkomen","","","","",""
"wijken","geen zin in hebben","geen zin in hebben","","","","",""
"wijken","verplichting","verplichting","","","","",""
"spoeden","haastig","haastig","","","","",""
"spoeden","geen uitstel","geen uitstel","","","","",""
"spoeden","snelheid","snelheid","","","","",""
"spoeden","zo snel mogelijk","zo snel mogelijk","","","","",""
"slingeren","dronken","dronken","","","","",""
"slingeren","op de weg","op de weg","","","","",""
"slingeren","fietsen","fietsen","","","","",""
"slingeren","onsamenhangend","onsamenhangend","","","","",""
"slingeren","alle kanten op","alle kanten op","","","","",""
"klimmen","lichamelijk","lichamelijk","","","","",""
"klimmen","benen","benen","","","","",""
"klimmen","gereedschap","gereedschap","","","","",""
"klimmen","touwen","touwen","","","","",""
"klimmen","zekering","zekering","","","","",""
"hardlopen","sport","sport","","","","",""
"hardlopen","bos","bos","","","","",""
"hardlopen","snelheid","snelheid","","","","",""
"hardlopen","blessure","blessure","","","","",""
"hardlopen","benen","benen","","","","",""
"hardlopen","knie","knie","","","","",""
"hardlopen","zweten","zweten","","","","",""
"lopen","bos","bos","","","","",""
"lopen","voet","voet","","","","",""
"lopen","naar werk","naar werk","","","","",""
"lopen","naar winkel","naar winkel","","","","",""
"glippen","geen grip","geen grip","","","","",""
"glippen","ongeremd","ongeremd","","","","",""
"glippen","ongezien","ongezien","","","","",""
"slingeren","van de ene naar de andere kant","van de ene naar de andere kant","","","","",""
"slingeren","actief","actief","","","","",""
"klimmen","actief","actief","","","","",""
"klimmen","in een boom","in een boom","","","","",""
"klimmen","omlaag","omlaag","","","","",""
"hakken","schoenen","schoenen","","","","",""
"hakken","zere voeten","zere voeten","","","","",""
"hakken","pumps","pumps","","","","",""
"hakken","hoog","hoog","","","","",""
"hakken","puntig","puntig","","","","",""
